5	6	7	10	28
5	9	9	10	33
2	3	5	5	15
10	10	2	3	25
10	7	7	3	27
3	2	8	5	18
5	4	7	8	24
2	3	9	6	20
3	10	6	5	24
5	2	10	9	26
4	4	5	10	23
3	2	8	6	19
10	10	4	4	28
9	1	6	6	22
5	6	9	10	30
5	5	2	8	20
6	8	6	1	21
1	3	10	8	22
1	2	9	10	22
6	3	9	5	23
2	7	1	10	20
3	2	5	5	15
6	6	4	7	23
4	4	5	9	22
5	6	7	7	25
4	6	2	9	21
6	6	2	9	23
6	3	1	8	18
3	3	6	8	20
8	1	2	6	17
9	9	2	8	28
10	3	1	10	24
6	3	4	6	19
10	5	2	6	23
6	9	8	3	26
10	5	6	5	26
4	8	3	3	18
10	3	5	2	20
2	2	9	8	21
10	8	2	7	27
8	8	7	7	30
5	4	4	7	20
2	2	9	5	18
5	5	3	8	21
1	2	2	3	8
1	6	2	7	16
7	5	8	9	29
9	5	7	7	28
6	2	7	4	19
1	10	6	7	24
2	3	4	8	17
5	5	4	10	24
6	8	4	7	25
6	3	8	10	27
2	8	9	10	29
3	4	10	6	23
1	7	4	5	17
6	4	3	9	22
3	5	7	7	22
4	5	8	10	27
3	7	5	2	17
10	7	8	6	31
1	1	8	8	18
8	6	7	2	23
9	10	3	6	28
4	6	8	10	28
3	5	6	6	20
5	2	8	10	25
2	10	8	5	25
1	10	3	5	19
2	4	4	5	15
2	1	7	4	14
7	3	5	8	23
1	2	7	4	14
3	3	4	9	19
7	8	6	1	22
9	4	2	6	21
4	6	5	7	22
2	4	8	9	23
6	7	1	3	17
7	9	10	2	28
10	5	5	8	28
9	8	3	2	22
6	5	10	10	31
8	9	7	10	34
8	6	4	5	23
4	5	8	10	27
8	4	1	3	16
1	2	3	2	8
9	10	9	9	37
8	9	7	5	29
8	7	10	1	26
10	7	9	8	34
8	3	6	2	19
8	8	6	3	25
1	9	5	3	18
4	5	1	1	11
10	10	5	8	33
9	8	6	5	28
4	5	1	8	18
9	1	9	10	29
9	2	4	8	23
7	7	2	1	17
1	1	5	6	13
2	2	10	10	24
5	4	7	10	26
9	9	9	6	33
3	6	1	8	18
1	3	5	4	13
6	4	5	8	23
9	7	6	5	27
8	8	1	5	22
9	5	5	4	23
9	1	9	1	20
9	7	6	5	27
2	6	6	9	23
8	1	6	6	21
8	1	1	6	16
9	8	7	3	27
2	2	7	1	12
4	5	2	2	13
8	3	3	5	19
4	3	3	2	12
6	9	8	2	25
7	2	3	8	20
6	9	2	2	19
9	5	5	3	22
3	6	6	6	21
6	6	8	5	25
7	9	5	6	27
7	6	6	5	24
5	5	1	8	19
8	6	6	5	25
3	1	2	2	8
9	5	3	2	19
8	5	6	4	23
7	6	2	3	18
8	9	9	1	27
10	10	8	6	34
1	4	4	3	12
5	3	3	2	13
6	7	9	9	31
7	6	6	6	25
4	8	5	1	18
6	2	9	10	27
4	7	8	9	28
5	3	3	1	12
3	3	4	5	15
10	5	1	1	17
1	4	6	10	21
10	4	9	7	30
2	7	7	7	23
1	10	4	8	23
2	4	4	10	20
5	5	5	9	24
10	10	1	4	25
7	10	1	8	26
2	6	6	10	24
3	5	6	8	22
3	6	6	7	22
8	9	4	5	26
9	9	2	6	26
4	4	5	9	22
4	9	2	1	16
2	2	4	10	18
10	10	8	6	34
3	1	5	4	13
9	3	8	5	25
4	8	9	10	31
8	7	1	1	17
1	5	8	10	24
10	7	4	2	23
8	9	5	6	28
10	9	3	10	32
4	5	10	6	25
5	10	8	4	27
10	10	9	4	33
4	6	1	1	12
2	2	5	7	16
4	4	6	5	19
6	9	3	4	22
9	9	8	5	31
3	8	7	1	19
8	9	4	7	28
2	4	5	9	20
6	6	8	1	21
2	5	7	6	20
7	3	1	0	11
6	8	4	9	27
4	4	3	2	13
10	1	3	6	20
1	2	9	5	17
4	10	10	2	26
8	6	5	3	22
5	5	5	9	24
7	9	3	9	28
6	4	9	5	24
10	7	7	6	30
8	8	8	9	33
10	3	1	8	22
2	5	2	8	17
9	6	3	2	20
3	8	10	9	30
4	8	8	2	22
1	3	5	10	19
10	7	5	4	26
7	9	5	9	30
1	5	10	1	17
6	4	6	3	19
7	5	4	2	18
1	1	2	2	6
2	10	9	9	30
8	6	8	6	28
9	9	7	1	26
1	3	8	4	16
6	8	3	3	20
6	7	8	3	24
10	6	3	1	20
1	10	10	8	29
5	3	7	1	16
5	5	2	10	22
4	4	5	6	19
9	4	9	1	23
7	7	7	1	22
5	7	4	6	22
2	5	7	10	24
6	1	10	10	27
6	3	7	6	22
9	3	7	7	26
4	6	8	10	28
8	5	3	5	21
